temperature,red,green,blue
2525,255,200.3312932,106.9381544
2530,255,200.5075528,107.2837208
2535,255,200.6832689,107.62874
2540,255,200.858444,107.9732128
2545,255,201.0330804,108.3171403
2550,255,201.2071803,108.6605236
2555,255,201.3807461,109.0033635
2560,255,201.5537801,109.3456612
2565,255,201.7262845,109.6874176
2570,255,201.8982617,110.0286335
2575,255,202.0697139,110.3693102
2580,255,202.2406434,110.7094483
2585,255,202.4110523,111.0490491
2590,255,202.5809429,111.3881133
2595,255,202.7503174,111.726642
2600,255,202.919178,112.064636
2605,255,203.0875269,112.4020964
2610,255,203.2553662,112.739024
2615,255,203.4226981,113.0754198
2620,255,203.5895247,113.4112848
2625,255,203.7558481,113.7466197
2630,255,203.9216706,114.0814256
2635,255,204.0869941,114.4157034
2640,255,204.2518207,114.7494539
2645,255,204.4161526,115.0826781
2650,255,204.5799918,115.4153768
2655,255,204.7433404,115.747551
2660,255,204.9062003,116.0792016
2665,255,205.0685737,116.4103294
2670,255,205.2304626,116.7409354
2675,255,205.3918689,117.0710203
2680,255,205.5527947,117.4005852
2685,255,205.7132419,117.7296308
2690,255,205.8732125,118.0581581
2695,255,206.0327086,118.3861679
2700,255,206.1917319,118.713661
2705,255,206.3502846,119.0406384
2710,255,206.5083684,119.3671009
2715,255,206.6659854,119.6930494
2720,255,206.8231374,120.0184847
2725,255,206.9798263,120.3434076
2730,255,207.136054,120.6678191
2735,255,207.2918224,120.9917199
2740,255,207.4471334,121.315111
2745,255,207.6019888,121.6379931
2750,255,207.7563905,121.9603671
2755,255,207.9103403,122.2822338
2760,255,208.0638399,122.6035941
2765,255,208.2168913,122.9244489
2770,255,208.3694963,123.2447988
2775,255,208.5216566,123.5646448
2780,255,208.673374,123.8839877
2785,255,208.8246503,124.2028284
2790,255,208.9754872,124.5211675
2795,255,209.1258866,124.8390061
2800,255,209.2758501,125.1563448
2805,255,209.4253795,125.4731845
2810,255,209.5744766,125.789526
2815,255,209.723143,126.1053702
2820,255,209.8713804,126.4207178
2825,255,210.0191906,126.7355697
2830,255,210.1665752,127.0499266
2835,255,210.313536,127.3637894
2840,255,210.4600746,127.6771589
2845,255,210.6061926,127.9900358
2850,255,210.7518917,128.302421
2855,255,210.8971736,128.6143154
2860,255,211.0420399,128.9257196
2865,255,211.1864922,129.2366344
2870,255,211.3305321,129.5470608
2875,255,211.4741613,129.8569994
2880,255,211.6173814,130.1664511
2885,255,211.7601939,130.4754167
2890,255,211.9026005,130.7838969
2895,255,212.0446026,131.0918925
2900,255,212.186202,131.3994044
2905,255,212.3274,131.7064333
2910,255,212.4681984,132.0129799
2915,255,212.6085986,132.3190452
2920,255,212.7486022,132.6246298
2925,255,212.8882107,132.9297346
2930,255,213.0274256,133.2343603
2935,255,213.1662485,133.5385078
2940,255,213.3046807,133.8421777
2945,255,213.442724,134.1453708
2950,255,213.5803796,134.4480881
2955,255,213.7176492,134.7503301
2960,255,213.8545341,135.0520977
2965,255,213.9910359,135.3533917
2970,255,214.127156,135.6542128
2975,255,214.2628958,135.9545618
2980,255,214.3982569,136.2544395
2985,255,214.5332405,136.5538467
2990,255,214.6678483,136.852784
2995,255,214.8020815,137.1512524
3000,255,214.9359417,137.4492524
3005,255,215.0694301,137.746785
3010,255,215.2025482,138.0438509
3015,255,215.3352975,138.3404507
3020,255,215.4676792,138.6365854
3025,255,215.5996948,138.9322556
3030,255,215.7313457,139.2274622
3035,255,215.8626331,139.5222058
3040,255,215.9935585,139.8164872
3045,255,216.1241232,140.1103072
3050,255,216.2543286,140.4036666
3055,255,216.384176,140.6965661
3060,255,216.5136667,140.9890064
3065,255,216.6428021,141.2809883
3070,255,216.7715834,141.5725125
3075,255,216.900012,141.8635799
3080,255,217.0280892,142.1541911
3085,255,217.1558163,142.444347
3090,255,217.2831945,142.7340481
3095,255,217.4102252,143.0232954
3100,255,217.5369097,143.3120895
3105,255,217.6632492,143.6004313
3110,255,217.789245,143.8883213
3115,255,217.9148983,144.1757604
3120,255,218.0402104,144.4627494
3125,255,218.1651825,144.7492889
3130,255,218.289816,145.0353797
3135,255,218.414112,145.3210226
3140,255,218.5380717,145.6062183
3145,255,218.6616964,145.8909674
3150,255,218.7849873,146.1752709
3155,255,218.9079457,146.4591293
3160,255,219.0305726,146.7425435
3165,255,219.1528694,147.0255142
3170,255,219.2748371,147.308042
3175,255,219.3964771,147.5901278
3180,255,219.5177905,147.8717723
3185,255,219.6387784,148.1529761
3190,255,219.7594421,148.4337401
3195,255,219.8797827,148.714065
3200,255,219.9998013,148.9939515
3205,255,220.1194992,149.2734002
3210,255,220.2388774,149.5524121
3215,255,220.3579372,149.8309877
3220,255,220.4766796,150.1091278
3225,255,220.5951058,150.3868331
3230,255,220.7132169,150.6641044
3235,255,220.831014,150.9409424
3240,255,220.9484984,151.2173477
3245,255,221.0656709,151.4933212
3250,255,221.1825329,151.7688635
3255,255,221.2990853,152.0439754
3260,255,221.4153293,152.3186576
3265,255,221.531266,152.5929107
3270,255,221.6468964,152.8667356
3275,255,221.7622217,153.1401329
3280,255,221.8772429,153.4131034
3285,255,221.9919611,153.6856477
3290,255,222.1063773,153.9577666
3295,255,222.2204926,154.2294608
3300,255,222.3343081,154.500731
3305,255,222.4478248,154.7715779
3310,255,222.5610438,155.0420023
3315,255,222.6739661,155.3120048
3320,255,222.7865927,155.5815861
3325,255,222.8989247,155.850747
3330,255,223.0109632,156.1194881
3335,255,223.122709,156.3878102
3340,255,223.2341633,156.655714
3345,255,223.3453271,156.9232002
3350,255,223.4562013,157.1902694
3355,255,223.566787,157.4569225
3360,255,223.6770852,157.72316
3365,255,223.7870968,157.9889827
3370,255,223.8968229,158.2543913
3375,255,224.0062645,158.5193866
3380,255,224.1154225,158.7839691
3385,255,224.2242978,159.0481396
3390,255,224.3328916,159.3118987
3395,255,224.4412047,159.5752473
3400,255,224.5492381,159.838186
3405,255,224.6569928,160.1007154
3410,255,224.7644697,160.3628363
3415,255,224.8716698,160.6245493
3420,255,224.978594,160.8858552
